Month,Year,Name,Mean
January,2012,Jefferson,7.770967742
February,2012,Jefferson,6.686206897
March,2012,Jefferson,6.851612903
April,2012,Jefferson,9.253846154
May,2012,Jefferson,11.44516129
June,2012,Jefferson,8.6
July,2012,Jefferson,8.24516129
August,2012,Jefferson,7.957692308
September,2012,Jefferson,10.00357143
October,2012,Jefferson,7.25
November,2012,Jefferson,9.448148148
December,2012,Jefferson,6.426666667
January,2012,Lafayette,7.8
February,2012,Lafayette,6.611111111
March,2012,Lafayette,7.025
April,2012,Lafayette,8.28
May,2012,Lafayette,11
June,2012,Lafayette,10.46
July,2012,Lafayette,9.48
August,2012,Lafayette,8.8
September,2012,Lafayette,9.54
October,2012,Lafayette,8.53
November,2012,Lafayette,8.94
December,2012,Lafayette,5.625
January,2012,Calcasieu,7.8
February,2012,Calcasieu,6.611111111
March,2012,Calcasieu,7.025
April,2012,Calcasieu,8.28
May,2012,Calcasieu,11
June,2012,Calcasieu,10.46
July,2012,Calcasieu,9.48
August,2012,Calcasieu,8.8
September,2012,Calcasieu,9.54
October,2012,Calcasieu,8.53
November,2012,Calcasieu,8.94
December,2012,Calcasieu,5.625
January,2012,Jefferson,9.581818182
February,2012,Jefferson,6.677777778
March,2012,Jefferson,7.072727273
April,2012,Jefferson,8.12
May,2012,Jefferson,11.66
June,2012,Jefferson,9.12
July,2012,Jefferson,8.82
August,2012,Jefferson,7.6875
September,2012,Jefferson,10.37857143
October,2012,Jefferson,9.3
November,2012,Jefferson,12.46
December,2012,Jefferson,5.97
January,2012,Ouachita,9.672727273
February,2012,Ouachita,5.575
March,2012,Ouachita,7.1
April,2012,Ouachita,7.688888889
May,2012,Ouachita,14.5
June,2012,Ouachita,11.58461538
July,2012,Ouachita,9.16
August,2012,Ouachita,10.93636364
September,2012,Ouachita,8.91
October,2012,Ouachita,8.63
November,2012,Ouachita,9.74
December,2012,Ouachita,6.4
January,2012,West Baton Rouge,9.764
February,2012,West Baton Rouge,8.2
March,2012,West Baton Rouge,9.07826087
April,2012,West Baton Rouge,9.435714286
May,2012,West Baton Rouge,12.4037037
June,2012,West Baton Rouge,10.75517241
July,2012,West Baton Rouge,9.322580645
August,2012,West Baton Rouge,9.9
September,2012,West Baton Rouge,10.72380952
October,2012,West Baton Rouge,10.46785714
November,2012,West Baton Rouge,10.04482759
December,2012,West Baton Rouge,8.15
January,2012,Caddo,11.92727273
February,2012,Caddo,8.177777778
March,2012,Caddo,11.60909091
April,2012,Caddo,10.61
May,2012,Caddo,15.51
June,2012,Caddo,16.44
July,2012,Caddo,11.2125
August,2012,Caddo,13.06
September,2012,Caddo,10.41111111
October,2012,Caddo,10.8875
November,2012,Caddo,12.62
December,2012,Caddo,9.56
January,2012,Caddo,8.9
February,2012,Caddo,9.766666667
March,2012,Caddo,9.466666667
April,2012,Caddo,12.73333333
May,2012,Caddo,12.45
June,2012,Caddo,15.8
July,2012,Caddo,10.4
August,2012,Caddo,12.86666667
September,2012,Caddo,10.5
October,2012,Caddo,17.95
November,2012,Caddo,15.3
December,2012,Caddo,9.9
January,2012,Calcasieu,5.963636364
February,2012,Calcasieu,6.344444444
March,2012,Calcasieu,6.016666667
April,2012,Calcasieu,8.666666667
May,2012,Calcasieu,10.84545455
June,2012,Calcasieu,10.67
July,2012,Calcasieu,9.55
August,2012,Calcasieu,7.85
September,2012,Calcasieu,7.881818182
October,2012,Calcasieu,7.4875
November,2012,Calcasieu,7.75
December,2012,Calcasieu,7.27
