Month,Year,Name,Mean
November,2014,Caddo,8.6375
December,2014,Caddo,9.8
January,2014,Caddo,8.2816
February,2014,Caddo,8.2816
March,2014,Caddo,8.2816
April,2014,Caddo,5.2
May,2014,Caddo,10
June,2014,Caddo,10.7125
July,2014,Caddo,8.2816
August,2014,Caddo,10.15
September,2014,Caddo,10.05
October,2014,Caddo,8.442857143
November,2014,Caddo,9.08
December,2014,Caddo,11.225
January,2014,Calcasieu,5.56
February,2014,Calcasieu,5.8
March,2014,Calcasieu,6.458333333
April,2014,Calcasieu,8.62
May,2014,Calcasieu,5.77
June,2014,Calcasieu,6.72
July,2014,Calcasieu,10.13636364
August,2014,Calcasieu,8.86
September,2014,Calcasieu,6.8
October,2014,Calcasieu,5.64
November,2014,Calcasieu,5.84
December,2014,Calcasieu,6.254545455
